image_id,source_image_path,filename,sha256,width,height,source_page,duplicate_of,setup_type,ticker,timeframe,base_quality,volume_notes,relative_strength_notes,buy_point_notes,failure_warnings,model_lesson,outcome_note,confidence,review_status
canslim-011,Chart Setups/Screenshot 2026-06-27 at 4.00.21 PM.png,Screenshot 2026-06-27 at 4.00.21 PM.png,c6093a546ac4468a158de27bc74e5d186f166039c59f015b42841edc8269e545,3644,2370,17,canslim-010,duplicate,Du Pont de Nemours,weekly,Duplicate capture of canslim-010.,Duplicate capture of canslim-010.,Duplicate capture of canslim-010.,Duplicate capture of canslim-010.,Do not count as a separate model example.,Duplicate image retained for source traceability.,Duplicate of page 17 Du Pont de Nemours example.,high,duplicate
canslim-012,Chart Setups/Screenshot 2026-06-27 at 4.00.26 PM.png,Screenshot 2026-06-27 at 4.00.26 PM.png,b28396557877f8205e35e84bc528af77a3f10dab596effb47c3b6050779cd768,3644,2370,19,,saucer with handle; tight-area add-ons,Burroughs Adding Machines,weekly,Long saucer-with-handle structure followed by later tight areas and add-on opportunities.,Volume should be checked around the marked buy/add areas for confirmation.,Relative strength line generally confirms leadership during the advance.,"Use only the marked base breakout, pullback, or add-on area; avoid late entries after extension.","Several examples later mark climax or extended areas, so entry quality still requires sell-rule discipline.","Long, orderly bases and tight follow-on areas can support repeated entries in a durable institutional leader.",Book chart notes a 1392% advance in 168 weeks.,medium,labeled_seed
canslim-013,Chart Setups/Screenshot 2026-06-27 at 4.00.30 PM.png,Screenshot 2026-06-27 at 4.00.30 PM.png,2e80531e79822befb26f69a65e4491925b7a1c34c1df843aeaa268e09d941916,3644,2370,19,canslim-012,duplicate,Burroughs Adding Machines,weekly,Duplicate capture of canslim-012.,Duplicate capture of canslim-012.,Duplicate capture of canslim-012.,Duplicate capture of canslim-012.,Do not count as a separate model example.,Duplicate image retained for source traceability.,Duplicate of page 19 Burroughs Adding Machines example.,high,duplicate
canslim-014,Chart Setups/Screenshot 2026-06-27 at 4.00.44 PM.png,Screenshot 2026-06-27 at 4.00.44 PM.png,19c1d903c475befef0405b503e406229865ec10a38a0212b70cad00f23991df2,3644,2370,24,,cup with handle; add-ons,Deere & Co.,weekly,Annotated weekly model-book leader example with one or more constructive bases during a sustained advance.,Volume should be checked around the marked buy/add areas for confirmation.,Relative strength line generally confirms leadership during the advance.,"Use only the marked base breakout, pullback, or add-on area; avoid late entries after extension.","Several examples later mark climax or extended areas, so entry quality still requires sell-rule discipline.","A leader can recover from a market correction, build a proper base, and then offer add-ons near controlled pullbacks.",Book chart notes a 307% advance in 104 weeks.,medium,labeled_seed
canslim-015,Chart Setups/Screenshot 2026-06-27 at 4.00.50 PM.png,Screenshot 2026-06-27 at 4.00.50 PM.png,6ce4dcf77164abc8385cdab693fc6f0a68a7dcf3c7d989898e32b500ab60d8be,3644,2370,25,,base breakout; 10-week add-ons,Schenley Distilling,weekly,Annotated weekly model-book leader example with one or more constructive bases during a sustained advance.,Volume should be checked around the marked buy/add areas for confirmation.,Relative strength line generally confirms leadership during the advance.,"Use only the marked base breakout, pullback, or add-on area; avoid late entries after extension.","Several examples later mark climax or extended areas, so entry quality still requires sell-rule discipline.",Repeated support near the 10-week line can give lower-risk add points after a valid breakout.,Book chart notes an 1164% advance in 185 weeks.,medium,labeled_seed
canslim-016,Chart Setups/Screenshot 2026-06-27 at 4.01.02 PM.png,Screenshot 2026-06-27 at 4.01.02 PM.png,3b97ef9d63587abbe392f1e7e19995d575301c60646c908949bd4c89e23eb317,3644,2370,26,,cup with handle; base breakout,Conde Nast Publications,weekly,Annotated weekly model-book leader example with one or more constructive bases during a sustained advance.,Volume should be checked around the marked buy/add areas for confirmation.,Relative strength line generally confirms leadership during the advance.,"Use only the marked base breakout, pullback, or add-on area; avoid late entries after extension.","Several examples later mark climax or extended areas, so entry quality still requires sell-rule discipline.",A long base can turn into a major leader when the breakout aligns with improving relative strength and volume.,Book chart notes a 514% advance in 101 weeks.,medium,labeled_seed
canslim-017,Chart Setups/Screenshot 2026-06-27 at 4.01.06 PM.png,Screenshot 2026-06-27 at 4.01.06 PM.png,d9792cfe4f898d84111d547edf12c34b6bb97c02e9c838621e447cc0b54c9097,3644,2370,27,,saucer/base breakout,Gimbel Bros.,weekly,Annotated weekly model-book leader example with one or more constructive bases during a sustained advance.,Volume should be checked around the marked buy/add areas for confirmation.,Relative strength line generally confirms leadership during the advance.,"Use only the marked base breakout, pullback, or add-on area; avoid late entries after extension.","Several examples later mark climax or extended areas, so entry quality still requires sell-rule discipline.","Rounded, constructive bases can work when price tightens and breaks out with institutional demand.",Book chart notes a 674% advance in 103 weeks.,medium,labeled_seed
canslim-018,Chart Setups/Screenshot 2026-06-27 at 4.01.13 PM.png,Screenshot 2026-06-27 at 4.01.13 PM.png,0a5265dc8d60ab97ae9afa94a7726865ea5a0aaaa9cac0abe65fa7756b54a77a,3644,2370,28,,long leader run; add-on bases,Outboard Marine,weekly,Annotated weekly model-book leader example with one or more constructive bases during a sustained advance.,Volume should be checked around the marked buy/add areas for confirmation.,Relative strength line generally confirms leadership during the advance.,"Use only the marked base breakout, pullback, or add-on area; avoid late entries after extension.","Several examples later mark climax or extended areas, so entry quality still requires sell-rule discipline.","A major winner may advance through multiple base-and-add phases, but each add still needs a defined setup.",Book chart notes a 720% advance in 177 weeks.,medium,labeled_seed
canslim-019,Chart Setups/Screenshot 2026-06-27 at 4.01.45 PM.png,Screenshot 2026-06-27 at 4.01.45 PM.png,0d8bad2e201f23e2a4767c13137917020c06fe92cb86ad036ff9f318d9b39af9,3644,2370,29,,base breakout; climax-top sell area,Kaiser Aluminum,weekly,Annotated weekly model-book leader example with one or more constructive bases during a sustained advance.,Volume should be checked around the marked buy/add areas for confirmation.,Relative strength line generally confirms leadership during the advance.,"Use only the marked base breakout, pullback, or add-on area; avoid late entries after extension.","Several examples later mark climax or extended areas, so entry quality still requires sell-rule discipline.",The same chart can teach both proper entry from a base and the need to sell into late-stage climactic action.,Book chart notes a 377% advance in 93 weeks.,medium,labeled_seed
canslim-020,Chart Setups/Screenshot 2026-06-27 at 5.53.43 PM.png,Screenshot 2026-06-27 at 5.53.43 PM.png,fa745e87715aefcd9107999d37f2f76beaafef84d9be2825ee391018545fd5c3,3644,2370,29,canslim-019,duplicate,Kaiser Aluminum,weekly,Duplicate capture of canslim-019.,Duplicate capture of canslim-019.,Duplicate capture of canslim-019.,Duplicate capture of canslim-019.,Do not count as a separate model example.,Duplicate image retained for source traceability.,Duplicate of page 29 Kaiser Aluminum example.,high,duplicate
canslim-021,Chart Setups/Screenshot 2026-06-27 at 5.53.48 PM.png,Screenshot 2026-06-27 at 5.53.48 PM.png,162b2cdda421a4e944a2f4e3d048b341ebad3e0a2a9cff8a38035740918366e8,3644,2370,30,,IPO base; add-on bases,Thiokol Chemical,weekly,Annotated weekly model-book leader example with one or more constructive bases during a sustained advance.,Volume should be checked around the marked buy/add areas for confirmation.,Relative strength line generally confirms leadership during the advance.,"Use only the marked base breakout, pullback, or add-on area; avoid late entries after extension.","Several examples later mark climax or extended areas, so entry quality still requires sell-rule discipline.",Newer leaders can build early IPO-style bases and then stair-step higher through secondary bases.,Book chart notes an 800% advance in 109 weeks.,medium,labeled_seed
canslim-022,Chart Setups/Screenshot 2026-06-27 at 5.53.51 PM.png,Screenshot 2026-06-27 at 5.53.51 PM.png,b9376c31e2904ee67bafb2adf3f8a990473fb949ef0571697bc5a06e5003912e,3644,2370,30,canslim-021,duplicate,Thiokol Chemical,weekly,Duplicate capture of canslim-021.,Duplicate capture of canslim-021.,Duplicate capture of canslim-021.,Duplicate capture of canslim-021.,Do not count as a separate model example.,Duplicate image retained for source traceability.,Duplicate of page 30 Thiokol Chemical example.,high,duplicate
canslim-023,Chart Setups/Screenshot 2026-06-27 at 5.53.54 PM.png,Screenshot 2026-06-27 at 5.53.54 PM.png,c8e284e6188db12def7e27466fbc90cb4d71144b0024f2b1915aa21c4e1f52c4,3644,2370,31,,long leader run; repeated bases,Brunswick,weekly,Annotated weekly model-book leader example with one or more constructive bases during a sustained advance.,Volume should be checked around the marked buy/add areas for confirmation.,Relative strength line generally confirms leadership during the advance.,"Use only the marked base breakout, pullback, or add-on area; avoid late entries after extension.","Several examples later mark climax or extended areas, so entry quality still requires sell-rule discipline.","A long-duration winner can show multiple valid bases, but add-ons should remain tied to structure rather than emotion.",Book chart notes a 1500% advance in 162 weeks.,medium,labeled_seed
canslim-024,Chart Setups/Screenshot 2026-06-27 at 5.53.56 PM.png,Screenshot 2026-06-27 at 5.53.56 PM.png,4624e1c3ab702d5db781ee4b25043525350cb154bec26ce7042384155b6d0b8d,3644,2370,31,canslim-023,duplicate,Brunswick,weekly,Duplicate capture of canslim-023.,Duplicate capture of canslim-023.,Duplicate capture of canslim-023.,Duplicate capture of canslim-023.,Do not count as a separate model example.,Duplicate image retained for source traceability.,Duplicate of page 31 Brunswick example.,high,duplicate
canslim-025,Chart Setups/Screenshot 2026-06-27 at 5.53.59 PM.png,Screenshot 2026-06-27 at 5.53.59 PM.png,aad89cd21246d2a52dad4eac6f852563e47dec045964c1d0c2856ac8551f3654,3644,2370,32,,base breakout; add-ons,Zenith Radio,weekly,Annotated weekly model-book leader example with one or more constructive bases during a sustained advance.,Volume should be checked around the marked buy/add areas for confirmation.,Relative strength line generally confirms leadership during the advance.,"Use only the marked base breakout, pullback, or add-on area; avoid late entries after extension.","Several examples later mark climax or extended areas, so entry quality still requires sell-rule discipline.","Explosive advances often start from quieter bases, then offer add points as the 10-week line catches up.",Book chart notes a 493% advance in 66 weeks.,medium,labeled_seed
canslim-026,Chart Setups/Screenshot 2026-06-27 at 5.54.02 PM.png,Screenshot 2026-06-27 at 5.54.02 PM.png,f345fdaa6152f2723fdac91cabf9e39fa4dee89e51f3780cd1f9307dd45cd636,3644,2370,32,canslim-025,duplicate,Zenith Radio,weekly,Duplicate capture of canslim-025.,Duplicate capture of canslim-025.,Duplicate capture of canslim-025.,Duplicate capture of canslim-025.,Do not count as a separate model example.,Duplicate image retained for source traceability.,Duplicate of page 32 Zenith Radio example.,high,duplicate
canslim-027,Chart Setups/Screenshot 2026-06-27 at 5.54.13 PM.png,Screenshot 2026-06-27 at 5.54.13 PM.png,087624eeb14fbf32c4c8e9920277bef99577845956941737fa2921fd8592b839,3644,2370,33,,long base breakout; add-ons,Texas Instruments,weekly,Annotated weekly model-book leader example with one or more constructive bases during a sustained advance.,Volume should be checked around the marked buy/add areas for confirmation.,Relative strength line generally confirms leadership during the advance.,"Use only the marked base breakout, pullback, or add-on area; avoid late entries after extension.","Several examples later mark climax or extended areas, so entry quality still requires sell-rule discipline.",Strong leadership can persist through normal pullbacks when price respects the moving-average structure.,Book chart notes a 772% advance in 116 weeks.,medium,labeled_seed
canslim-028,Chart Setups/Screenshot 2026-06-27 at 5.54.16 PM.png,Screenshot 2026-06-27 at 5.54.16 PM.png,f6dec5263fe00a8d1fb007508a91916a2a3a97df2d70a4ff86c901fcfc5985b9,3644,2370,33,canslim-027,duplicate,Texas Instruments,weekly,Duplicate capture of canslim-027.,Duplicate capture of canslim-027.,Duplicate capture of canslim-027.,Duplicate capture of canslim-027.,Do not count as a separate model example.,Duplicate image retained for source traceability.,Duplicate of page 33 Texas Instruments example.,high,duplicate
canslim-029,Chart Setups/Screenshot 2026-06-27 at 5.54.30 PM.png,Screenshot 2026-06-27 at 5.54.30 PM.png,e5f81f0e0bae971614d9d8a302f7457fbc28110b7613ab1053db624b30a16856,3644,2370,39,,cup with handle; trendline/add-on entries,National Airlines,weekly,Annotated weekly model-book leader example with one or more constructive bases during a sustained advance.,Volume should be checked around the marked buy/add areas for confirmation.,Relative strength line generally confirms leadership during the advance.,"Use only the marked base breakout, pullback, or add-on area; avoid late entries after extension.","Several examples later mark climax or extended areas, so entry quality still requires sell-rule discipline.","A proper base can start the move, while later controlled pullbacks and trendline areas can support add decisions.",Book chart notes a 1004% advance in 179 weeks.,medium,labeled_seed
canslim-030,Chart Setups/Screenshot 2026-06-27 at 5.54.35 PM.png,Screenshot 2026-06-27 at 5.54.35 PM.png,2afa1489e5f6dba612f1e6281e58bf9e9c7fa162fc524c61714127341e2a3d0b,3644,2370,40,,base breakout; add-on bases,Northwest Airlines,weekly,Annotated weekly model-book leader example with one or more constructive bases during a sustained advance.,Volume should be checked around the marked buy/add areas for confirmation.,Relative strength line generally confirms leadership during the advance.,"Use only the marked base breakout, pullback, or add-on area; avoid late entries after extension.","Several examples later mark climax or extended areas, so entry quality still requires sell-rule discipline.",A leader can compound through repeated bases if entries are taken near pivots and not after obvious extension.,Book chart notes a 1240% advance in 186 weeks.,medium,labeled_seed
canslim-031,Chart Setups/Screenshot 2026-06-27 at 5.54.38 PM.png,Screenshot 2026-06-27 at 5.54.38 PM.png,d3b9bb18d24087b91f4cce3fbdef7fb41dd198df793fa480ba604328d5e00113,3644,2370,41,,IPO-style leader; base breakout,Xerox,weekly,Annotated weekly model-book leader example with one or more constructive bases during a sustained advance.,Volume should be checked around the marked buy/add areas for confirmation.,Relative strength line generally confirms leadership during the advance.,"Use only the marked base breakout, pullback, or add-on area; avoid late entries after extension.","Several examples later mark climax or extended areas, so entry quality still requires sell-rule discipline.",Early-stage growth leaders often offer their best entries after a constructive base and before the move is widely obvious.,Book chart notes a 680% advance in 158 weeks.,medium,labeled_seed
canslim-032,Chart Setups/Screenshot 2026-06-27 at 5.54.41 PM.png,Screenshot 2026-06-27 at 5.54.41 PM.png,3d85f3b000b7c708f173263325b348efacfdd15a7f11f59a4b9f681f4a0210af,3644,2370,42,,high tight flag; base breakout,Syntex,weekly,Annotated weekly model-book leader example with one or more constructive bases during a sustained advance.,Volume should be checked around the marked buy/add areas for confirmation.,Relative strength line generally confirms leadership during the advance.,"Use only the marked base breakout, pullback, or add-on area; avoid late entries after extension.","Several examples later mark climax or extended areas, so entry quality still requires sell-rule discipline.","Very powerful leaders can form high tight areas, but they require unusually strong price and volume confirmation.",Book chart notes a 451% advance in 25 weeks.,medium,labeled_seed
canslim-033,Chart Setups/Screenshot 2026-06-27 at 5.54.44 PM.png,Screenshot 2026-06-27 at 5.54.44 PM.png,64540d1432fee25d02c3deac4562c74c94580dfdfe29c80c94970c5b25e941e4,3644,2370,43,,base breakout; climactic advance,Rollins,weekly,Annotated weekly model-book leader example with one or more constructive bases during a sustained advance.,Volume should be checked around the marked buy/add areas for confirmation.,Relative strength line generally confirms leadership during the advance.,"Use only the marked base breakout, pullback, or add-on area; avoid late entries after extension.","Several examples later mark climax or extended areas, so entry quality still requires sell-rule discipline.","A quiet base can produce a fast advance, but vertical moves need disciplined sell rules.",Book chart notes a 254% advance in 35 weeks.,medium,labeled_seed
canslim-034,Chart Setups/Screenshot 2026-06-27 at 5.54.50 PM.png,Screenshot 2026-06-27 at 5.54.50 PM.png,a4dacd6075366819b4356f32b736b00be8f5c55430f57eb4ae664ac6e7c376b4,3644,2370,44,,base breakout; add-ons,Simmonds Precision Products,weekly,Annotated weekly model-book leader example with one or more constructive bases during a sustained advance.,Volume should be checked around the marked buy/add areas for confirmation.,Relative strength line generally confirms leadership during the advance.,"Use only the marked base breakout, pullback, or add-on area; avoid late entries after extension.","Several examples later mark climax or extended areas, so entry quality still requires sell-rule discipline.",Strong earnings/relative strength context plus decisive price action can produce rapid leader moves.,Book chart notes a 672% advance in 28 weeks.,medium,labeled_seed
canslim-035,Chart Setups/Screenshot 2026-06-27 at 5.54.54 PM.png,Screenshot 2026-06-27 at 5.54.54 PM.png,90033819548f91ce9850d71c105930e112cabacb46c69f04a39c523ed28d8e22,3644,2370,45,,base breakout; 10-week support,Monogram Industries,weekly,Annotated weekly model-book leader example with one or more constructive bases during a sustained advance.,Volume should be checked around the marked buy/add areas for confirmation.,Relative strength line generally confirms leadership during the advance.,"Use only the marked base breakout, pullback, or add-on area; avoid late entries after extension.","Several examples later mark climax or extended areas, so entry quality still requires sell-rule discipline.",Support and add points around the 10-week line can help manage a fast leader after the initial breakout.,Book chart notes an 807% advance in 57 weeks.,medium,labeled_seed
canslim-036,Chart Setups/Screenshot 2026-06-27 at 5.54.56 PM.png,Screenshot 2026-06-27 at 5.54.56 PM.png,1b01c5a7aa7236cc019995c38dcd356ba514345799323806e261971c5550c84a,3644,2370,46,,base breakout; pullback add-on,Digital Equipment,weekly,Annotated weekly model-book leader example with one or more constructive bases during a sustained advance.,Volume should be checked around the marked buy/add areas for confirmation.,Relative strength line generally confirms leadership during the advance.,"Use only the marked base breakout, pullback, or add-on area; avoid late entries after extension.","Several examples later mark climax or extended areas, so entry quality still requires sell-rule discipline.",A new technology leader can become a long winner when bases form above rising moving averages.,Book chart notes a 1343% advance in 156 weeks.,medium,labeled_seed
canslim-037,Chart Setups/Screenshot 2026-06-27 at 5.54.58 PM.png,Screenshot 2026-06-27 at 5.54.58 PM.png,b33879a905ce51b371258003269d88ee26ff391c16a81453de9421e260b529d2,3644,2370,47,,long base breakout; sell-rule example,Loews,weekly,Annotated weekly model-book leader example with one or more constructive bases during a sustained advance.,Volume should be checked around the marked buy/add areas for confirmation.,Relative strength line generally confirms leadership during the advance.,"Use only the marked base breakout, pullback, or add-on area; avoid late entries after extension.","Several examples later mark climax or extended areas, so entry quality still requires sell-rule discipline.",The model shows both entry discipline during the base and exit discipline after the advance matures.,Book chart notes a 1023% advance in 101 weeks.,medium,labeled_seed
canslim-038,Chart Setups/Screenshot 2026-06-27 at 5.55.01 PM.png,Screenshot 2026-06-27 at 5.55.01 PM.png,5338dba84ed1265e76985567efb8ef1f92a1b28afa7212cde9a8714a5a3d2b8d,190,86,,,non-chart artifact,,,Image appears to be a file-display placeholder rather than a chart screenshot.,,,,Exclude from model-example counts.,Not usable as a chart model example.,,high,exclude
canslim-039,Chart Setups/Screenshot 2026-06-27 at 5.55.08 PM.png,Screenshot 2026-06-27 at 5.55.08 PM.png,9a21619216cec6d3790f6c3fe67dee010814fa62d6765138e3ae08474e31c821,3644,2370,49,,base breakout; 10-week support,Skyline,weekly,Annotated weekly model-book leader example with one or more constructive bases during a sustained advance.,Volume should be checked around the marked buy/add areas for confirmation.,Relative strength line generally confirms leadership during the advance.,"Use only the marked base breakout, pullback, or add-on area; avoid late entries after extension.","Several examples later mark climax or extended areas, so entry quality still requires sell-rule discipline.",Constructive bases and controlled support at moving averages can sustain a large advance.,Book chart notes a 715% advance in 98 weeks.,medium,labeled_seed
canslim-040,Chart Setups/Screenshot 2026-06-27 at 5.55.11 PM.png,Screenshot 2026-06-27 at 5.55.11 PM.png,0fd7f515125c8a16a4c2556b24891f210c04aa760ea251954ff216dab83603b8,3644,2370,50,,base breakout; add-on bases,Redman Industries,weekly,Annotated weekly model-book leader example with one or more constructive bases during a sustained advance.,Volume should be checked around the marked buy/add areas for confirmation.,Relative strength line generally confirms leadership during the advance.,"Use only the marked base breakout, pullback, or add-on area; avoid late entries after extension.","Several examples later mark climax or extended areas, so entry quality still requires sell-rule discipline.",Repeated tight setups during an advance can provide add points when the stock stays under institutional accumulation.,Book chart notes a 683% advance in 49 weeks.,medium,labeled_seed
canslim-041,Chart Setups/Screenshot 2026-06-27 at 5.55.15 PM.png,Screenshot 2026-06-27 at 5.55.15 PM.png,f96f584a055405877df9d156f3497b39601e3f422149588b5a78e1c7e760a44c,3644,2370,51,,base breakout; add-on entries,Levitz Furniture,weekly,Annotated weekly model-book leader example with one or more constructive bases during a sustained advance.,Volume should be checked around the marked buy/add areas for confirmation.,Relative strength line generally confirms leadership during the advance.,"Use only the marked base breakout, pullback, or add-on area; avoid late entries after extension.","Several examples later mark climax or extended areas, so entry quality still requires sell-rule discipline.",A long winner can offer several lower-risk entries as long as each one has a nearby invalidation point.,Book chart notes a 608% advance in 87 weeks.,medium,labeled_seed
canslim-042,Chart Setups/Screenshot 2026-06-27 at 5.55.19 PM.png,Screenshot 2026-06-27 at 5.55.19 PM.png,8c328498cca4e320090bc2ae3ca998b9a12b9f4a73475acfd004ade1cffb52e4,3644,2370,52,,cup with handle; trendline entry,Rite Aid,weekly,Annotated weekly model-book leader example with one or more constructive bases during a sustained advance.,Volume should be checked around the marked buy/add areas for confirmation.,Relative strength line generally confirms leadership during the advance.,"Use only the marked base breakout, pullback, or add-on area; avoid late entries after extension.","Several examples later mark climax or extended areas, so entry quality still requires sell-rule discipline.",A cup-with-handle plus rising relative strength can mark an actionable leadership setup.,Book chart notes a 421% advance in 71 weeks.,medium,labeled_seed
canslim-043,Chart Setups/Screenshot 2026-06-27 at 5.55.21 PM.png,Screenshot 2026-06-27 at 5.55.21 PM.png,332687dd1241e55285167705ad5ee1e024845334607d02e4c1eff12e10e8f445,3644,2370,53,,long base; add-on entries,McDonald's,weekly,Annotated weekly model-book leader example with one or more constructive bases during a sustained advance.,Volume should be checked around the marked buy/add areas for confirmation.,Relative strength line generally confirms leadership during the advance.,"Use only the marked base breakout, pullback, or add-on area; avoid late entries after extension.","Several examples later mark climax or extended areas, so entry quality still requires sell-rule discipline.",A long base can be valid when the stock emerges with improving price strength and then respects follow-on support.,Book chart notes a 422% advance in 108 weeks.,medium,labeled_seed
